source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775445005,2026-04-06T03:09:14.000Z,0,node_1,2026-04-06T03:09:14.000Z,104331,34.28501,46.20832,0,13.99915,87.02393,0.954084,-0.060018,60,
node_data_0v3,node_1_1775445255,2026-04-06T03:14:14.000Z,0,node_1,2026-04-06T03:10:14.000Z,164332,34.35835,47.125,0,13.98777,79.63257,0.958958,-0.054932,60,
node_data_0v3,node_1_1775445255,2026-04-06T03:14:14.000Z,1,node_1,2026-04-06T03:11:14.000Z,224331,34.57499,46.71502,0,13.97646,83.12378,0.954521,-0.064087,60,
node_data_0v3,node_1_1775445255,2026-04-06T03:14:14.000Z,2,node_1,2026-04-06T03:12:14.000Z,284332,34.71668,46.84665,0,13.96623,82.19503,0.930521,-0.06307,60,
node_data_0v3,node_1_1775445255,2026-04-06T03:14:14.000Z,3,node_1,2026-04-06T03:13:14.000Z,344332,34.87168,46.61167,0,13.958,82.74332,0.89775,-0.066121,60,
node_data_0v3,node_1_1775445255,2026-04-06T03:14:14.000Z,4,node_1,2026-04-06T03:14:14.000Z,404332,35.00333,46.07333,0,13.9485,82.75655,0.895375,-0.061035,60,
node_data_0v3,node_1_1775445315,2026-04-06T03:15:14.000Z,0,node_1,2026-04-06T03:15:14.000Z,464332,35.11998,45.96167,0,13.93894,85.44617,0.922625,-0.059001,60,
node_data_0v3,node_1_1775445605,2026-04-06T03:19:14.000Z,0,node_1,2026-04-06T03:16:14.000Z,524332,35.16499,46.71166,0,13.9315,82.84912,0.930708,-0.060018,60,
node_data_0v3,node_1_1775445605,2026-04-06T03:19:14.000Z,1,node_1,2026-04-06T03:17:14.000Z,584332,35.20832,46.72334,0,13.92081,85.74524,0.931333,-0.06307,60,
node_data_0v3,node_1_1775445605,2026-04-06T03:19:14.000Z,2,node_1,2026-04-06T03:18:14.000Z,644331,35.19998,46.49834,0,13.91175,91.46525,0.933896,-0.060018,60,
node_data_0v3,node_1_1775445605,2026-04-06T03:19:14.000Z,3,node_1,2026-04-06T03:19:14.000Z,704331,35.14332,46.01167,0,13.903,89.56604,0.932292,-0.059001,60,
node_data_0v3,node_1_1775445855,2026-04-06T03:24:14.000Z,0,node_1,2026-04-06T03:20:14.000Z,764331,35.10498,46.39499,0,13.89348,96.55457,0.930834,-0.061035,60,
node_data_0v3,node_1_1775445855,2026-04-06T03:24:14.000Z,1,node_1,2026-04-06T03:21:14.000Z,824332,35.02999,45.78833,0,13.88723,90.8315,0.928458,-0.062052,60,
node_data_0v3,node_1_1775445855,2026-04-06T03:24:14.000Z,2,node_1,2026-04-06T03:22:14.000Z,884332,35.01167,46.16499,0,13.88211,93.10099,0.928375,-0.06307,60,
node_data_0v3,node_1_1775445855,2026-04-06T03:24:14.000Z,3,node_1,2026-04-06T03:23:14.000Z,944332,35.06999,45.97501,0,13.87429,92.64017,0.928417,-0.059001,60,
node_data_0v3,node_1_1775445855,2026-04-06T03:24:14.000Z,4,node_1,2026-04-06T03:24:14.000Z,1004333,35.09499,46.01167,0,13.8685,92.58423,0.926938,-0.057983,60,
node_data_0v3,node_1_1775445915,2026-04-06T03:25:14.000Z,0,node_1,2026-04-06T03:25:14.000Z,1064332,35.13999,46.04833,0,13.86042,93.51705,0.925604,-0.061035,60,
node_data_0v3,node_1_1775446205,2026-04-06T03:29:14.000Z,0,node_1,2026-04-06T03:26:14.000Z,1124332,35.10666,45.02,0,13.85419,95.57699,0.925146,-0.061035,60,
node_data_0v3,node_1_1775446205,2026-04-06T03:29:14.000Z,1,node_1,2026-04-06T03:27:14.000Z,1184331,35.10332,45.75667,0,13.84956,92.13867,0.925646,-0.061035,60,
node_data_0v3,node_1_1775446205,2026-04-06T03:29:14.000Z,2,node_1,2026-04-06T03:28:14.000Z,1244331,35.16831,45.86666,0,13.84169,92.95248,0.925542,-0.061035,60,
node_data_0v3,node_1_1775446205,2026-04-06T03:29:14.000Z,3,node_1,2026-04-06T03:29:14.000Z,1304332,35.19165,44.9,0,13.83531,90.57821,0.923604,-0.059001,60,
node_data_0v3,node_1_1775446455,2026-04-06T03:34:14.000Z,0,node_1,2026-04-06T03:30:14.000Z,1364332,35.24334,45.04166,0,13.82825,96.38672,0.922333,-0.060018,60,
node_data_0v3,node_1_1775446455,2026-04-06T03:34:14.000Z,1,node_1,2026-04-06T03:31:14.000Z,1424331,35.27335,45.56667,0,13.8276,83.80737,0.921896,-0.061035,60,
node_data_0v3,node_1_1775446455,2026-04-06T03:34:14.000Z,2,node_1,2026-04-06T03:32:14.000Z,1484332,35.21999,44.07001,0,13.82092,84.87447,0.920812,-0.064087,60,
node_data_0v3,node_1_1775446455,2026-04-06T03:34:14.000Z,3,node_1,2026-04-06T03:33:14.000Z,1544332,35.15165,45.68666,0,13.816,83.56527,0.921187,-0.059001,60,
