ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,historical?
2026-04-01T06:58:54.000Z,,17.4,21.63,0,13.6,101.05,19.69,724.96,60,true
2026-04-01T06:58:58.000Z,,34.8,43.45,0,13.62,93.41,19.55,743.12,60,true
2026-04-01T07:00:42.000Z,,34.87,42.93,0,13.67,87.9,19.65,732.01,60,true
2026-04-01T07:01:42.000Z,,34.91,42.27,0,13.7,86.08,15.69,543.64,60,true
2026-04-01T07:02:42.000Z,,34.91,42.06,0,13.69,85.83,0.97,-0.06,60,true
2026-04-01T07:03:42.000Z,,34.92,42.11,0,13.68,86.64,0.97,-0.07,60,true
2026-04-01T07:04:42.000Z,,34.95,42.69,0,13.67,86.31,0.97,-0.07,60,true
2026-04-01T07:05:42.000Z,,34.96,41.26,0,13.67,88.56,0.97,-0.06,60,true
2026-04-01T07:06:42.000Z,,34.96,41.64,0,13.67,84.83,6.49,184.61,60,true
2026-04-01T07:07:42.000Z,,34.99,42.09,0,13.72,86.82,19.49,683.4,60,true
2026-04-01T07:08:42.000Z,,35.01,42.18,0,13.77,86.79,19.59,692.07,60,true
2026-04-01T07:09:42.000Z,,35.05,42.16,0,13.82,86.4,19.62,688.98,60,true
2026-04-01T07:10:42.000Z,,35.08,42.42,0,13.86,86.08,18.93,482.18,60,true
2026-04-01T07:11:42.000Z,,35.08,42.32,0,13.93,90.36,19.62,684,60,true
2026-04-01T07:12:42.000Z,,35,42.09,0,14.03,85.11,19.63,679.36,60,true
2026-04-01T07:13:42.000Z,,34.88,42.32,0,14.14,84.92,19.7,666.83,60,true
2026-04-01T07:14:42.000Z,,34.8,41.89,0,14.38,82.5,20.96,407.84,60,true
2026-04-01T07:15:42.000Z,,34.73,41.07,0,14.56,85.63,22.31,95.15,60,true
2026-04-01T07:16:42.000Z,,34.65,41.53,0,14.56,84.39,22.29,93.77,60,true
2026-04-01T07:17:42.000Z,,34.59,41.49,0,14.56,81.15,22.23,92.82,60,true
2026-04-01T07:18:42.000Z,,34.57,42.01,0,14.55,94.17,22.17,101.07,60,true
2026-04-01T07:19:42.000Z,,34.62,42.7,0,14.56,84.65,22.13,94.61,60,true
2026-04-01T07:20:42.000Z,,34.62,42.26,0,14.56,84.35,22.1,94.49,60,true
2026-04-01T07:21:42.000Z,,34.69,42.59,0,14.56,82.32,22.09,94.24,60,true
2026-04-01T07:22:42.000Z,,34.69,42.17,0,14.56,83.13,22.12,93.74,60,true
2026-04-01T07:23:42.000Z,,34.69,42.45,0,14.56,81.97,22.11,93.69,60,true
2026-04-01T07:24:42.000Z,,34.7,42.59,0,14.56,81.21,22.08,93.24,60,true
2026-04-01T07:25:42.000Z,,34.71,42.85,0,14.56,83.63,22.05,94.3,60,true
2026-04-01T07:26:42.000Z,,34.76,41.96,0,14.56,82.64,22.04,93.94,60,true
2026-04-01T07:27:42.000Z,,34.75,41.44,0,14.56,85.16,22.03,95.61,60,true
2026-04-01T07:28:42.000Z,,34.65,41.7,0,14.56,85.1,22.02,95.75,60,true
2026-04-01T07:29:42.000Z,,34.67,42.76,0,14.55,85.2,21.98,96.28,60,true
2026-04-01T07:30:42.000Z,,34.76,43.21,0,14.56,83.63,21.94,94.73,60,true
2026-04-01T07:31:42.000Z,,34.83,42.45,0,14.55,87.68,21.92,97.6,60,true
2026-04-01T07:32:42.000Z,,34.87,42.03,0,14.55,84.57,21.93,95.41,60,true
2026-04-01T07:33:42.000Z,,34.94,41.92,0,14.56,85.54,21.93,95.49,60,true
2026-04-01T07:34:42.000Z,,34.91,41.06,0,14.56,83.13,22,94.64,60,true
2026-04-01T07:35:42.000Z,,34.84,40.79,0,14.55,86.27,22.06,95.32,60,true
2026-04-01T07:36:42.000Z,,34.75,40.9,0,14.55,88.9,22.07,98.96,60,true
2026-04-01T07:37:42.000Z,,34.66,40.61,0,14.55,90.17,22.1,97.65,60,true
2026-04-01T07:38:42.000Z,,34.62,40.24,0,14.55,89.96,22.09,99.08,60,true
2026-04-01T07:39:42.000Z,,34.57,40.93,0,14.56,85.11,22.08,95.22,60,true
2026-04-01T07:40:42.000Z,,34.6,40.89,0,14.56,83.93,22.04,94.65,60,true
2026-04-01T07:41:42.000Z,,34.62,40.99,0,14.55,84.75,21.99,95.34,60,true
